image_name blink head_pose_yaw_angle head_pose_pitch_angle head_pose_roll_angle left_eye_horizontal_position left_eye_vertical_position right_eye_horizontal_position right_eye_vertical_position
1.jpg False 5.884 -11.496 1.452 0.03076 0.07623 -0.01583 0.04051
2.jpg False 5.832 -11.547 1.390 0.03034 0.06888 -0.01466 0.03848
3.jpg False 5.862 -11.566 1.308 0.02923 0.07222 -0.00830 0.04428
4.jpg False 5.849 -11.577 1.124 0.03072 0.08932 -0.00386 0.06274
5.jpg False 5.833 -11.490 0.958 0.03056 0.08247 -0.00350 0.06963
6.jpg False 5.809 -11.271 0.796 0.02636 0.08109 -0.00419 0.07170
7.jpg False 5.794 -11.180 0.660 0.02548 0.08986 -0.00753 0.07903
8.jpg False 5.704 -11.125 0.606 0.02632 0.08897 -0.01818 0.07561
9.jpg False 5.661 -11.185 0.642 0.02720 0.08689 -0.02572 0.07361
10.jpg False 5.625 -11.245 0.690 0.02507 0.07515 -0.03098 0.05966
11.jpg False 5.629 -11.362 0.799 0.02203 0.07147 -0.03222 0.05311
12.jpg False 5.620 -11.356 0.897 0.02008 0.06475 -0.03063 0.04526
13.jpg False 5.618 -11.317 0.961 0.01755 0.06047 -0.02814 0.04214
14.jpg False 5.552 -11.288 0.973 0.01633 0.05589 -0.02469 0.03407
15.jpg False 5.492 -11.257 0.952 0.01775 0.05863 -0.02225 0.03256
16.jpg False 5.444 -11.145 0.923 0.01887 0.05519 -0.02084 0.02935
17.jpg False 5.397 -11.111 0.883 0.01717 0.05307 -0.02090 0.03246
18.jpg False 5.361 -11.067 0.840 0.01646 0.05170 -0.02030 0.03297
19.jpg False 5.386 -11.036 0.816 0.01552 0.04934 -0.01715 0.03363
20.jpg False 5.390 -11.015 0.814 0.01286 0.04145 -0.01206 0.02940
21.jpg False 5.395 -11.017 0.805 0.01104 0.03439 -0.00514 0.02306
22.jpg False 5.437 -11.016 0.807 0.01228 0.02499 0.00120 0.01093
23.jpg False 5.496 -11.031 0.807 0.01270 0.01506 0.00799 0.00077
24.jpg False 5.464 -11.065 0.852 0.01163 0.00832 0.00869 -0.00632
25.jpg False 5.360 -11.062 0.946 0.00802 0.00524 0.00546 -0.00787
26.jpg False 5.123 -11.091 1.068 0.00258 0.00183 -0.00058 -0.00679
27.jpg False 4.574 -11.031 1.242 -0.00511 0.00111 -0.00773 -0.00103
28.jpg True 3.505 -10.911 1.472 -0.01882 0.00464 -0.02280 0.00330
29.jpg True 1.950 -10.795 1.659 -0.03767 0.00438 -0.04141 0.00657
30.jpg False -0.118 -10.727 1.826 -0.05890 0.00716 -0.06230 0.00985
31.jpg False -2.677 -10.638 2.026 -0.08319 0.00812 -0.08602 0.01034
32.jpg False -5.601 -10.599 2.211 -0.10766 0.00528 -0.11068 0.00881
33.jpg False -8.728 -10.697 2.339 -0.12888 0.00049 -0.12785 0.00778
34.jpg False -11.913 -10.963 2.417 -0.14185 0.00527 -0.13714 0.01314
