2024-07-16 08:44:11,685 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2024-07-16 08:44:11,706 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2024-07-16 08:44:11,706 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2024-07-16 08:44:11,707 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2024-07-16 08:44:11,708 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2024-07-16 08:44:11,708 INFO  SwAddin.cs: 197 - Setting up callbacks
2024-07-16 08:44:11,708 INFO  SwAddin.cs: 201 - Setting up command manager
2024-07-16 08:44:11,708 INFO  SwAddin.cs: 204 - Adding command manager
2024-07-16 08:44:11,711 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2024-07-16 08:44:11,711 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2024-07-16 08:44:11,711 INFO  SwAddin.cs: 210 - Adding event handlers
2024-07-16 08:44:11,713 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2024-07-16 08:51:19,864 INFO  SwAddin.cs: 294 - Assembly export called for file head_yaw_and_pitch
2024-07-16 08:51:23,075 INFO  SwAddin.cs: 313 - Saving assembly
2024-07-16 08:51:23,481 INFO  SwAddin.cs: 316 - Opening property manager
2024-07-16 08:51:23,487 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from head_yaw_and_pitch
2024-07-16 08:51:23,492 INFO  ExportHelperExtension.cs: 1136 - Found 36 in head_yaw_and_pitch
2024-07-16 08:51:23,492 INFO  ExportHelperExtension.cs: 1145 - Found 3 features of type [CoordSys] in head_yaw_and_pitch
2024-07-16 08:51:23,492 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2024-07-16 08:51:23,493 INFO  ExportHelperExtension.cs: 1160 - 3 components to check
2024-07-16 08:51:23,494 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from link_head-1
2024-07-16 08:51:23,494 INFO  ExportHelperExtension.cs: 1136 - Found 59 in link_head-1
2024-07-16 08:51:23,495 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in link_head-1
2024-07-16 08:51:23,495 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from base_link.STEP-1
2024-07-16 08:51:23,495 INFO  ExportHelperExtension.cs: 1136 - Found 35 in base_link.STEP-1
2024-07-16 08:51:23,496 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in base_link.STEP-1
2024-07-16 08:51:23,496 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from link_pitch.STEP-1
2024-07-16 08:51:23,496 INFO  ExportHelperExtension.cs: 1136 - Found 31 in link_pitch.STEP-1
2024-07-16 08:51:23,496 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in link_pitch.STEP-1
2024-07-16 08:51:23,496 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from head_yaw_and_pitch
2024-07-16 08:51:23,496 INFO  ExportHelperExtension.cs: 1136 - Found 36 in head_yaw_and_pitch
2024-07-16 08:51:23,497 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in head_yaw_and_pitch
2024-07-16 08:51:23,497 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2024-07-16 08:51:23,497 INFO  ExportHelperExtension.cs: 1160 - 3 components to check
2024-07-16 08:51:23,497 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from link_head-1
2024-07-16 08:51:23,497 INFO  ExportHelperExtension.cs: 1136 - Found 59 in link_head-1
2024-07-16 08:51:23,498 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in link_head-1
2024-07-16 08:51:23,498 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from base_link.STEP-1
2024-07-16 08:51:23,498 INFO  ExportHelperExtension.cs: 1136 - Found 35 in base_link.STEP-1
2024-07-16 08:51:23,498 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in base_link.STEP-1
2024-07-16 08:51:23,499 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from link_pitch.STEP-1
2024-07-16 08:51:23,499 INFO  ExportHelperExtension.cs: 1136 - Found 31 in link_pitch.STEP-1
2024-07-16 08:51:23,499 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in link_pitch.STEP-1
2024-07-16 08:51:23,722 INFO  SwAddin.cs: 339 - Loading config tree
2024-07-16 08:51:23,724 INFO  ExportPropertyManagerExtension.cs: 520 - Starting new configuration
2024-07-16 08:51:23,726 INFO  SwAddin.cs: 344 - Showing property manager
2024-07-16 08:51:40,783 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2024-07-16 08:51:55,902 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2024-07-16 08:52:33,728 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2024-07-16 08:53:48,802 INFO  ExportPropertyManager.cs: 416 - Configuration canceled
2024-07-16 08:53:48,906 INFO  ExportPropertyManager.cs: 1142 - AfterClose called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2024-07-16 10:50:10,752 INFO  SwAddin.cs: 294 - Assembly export called for file head_yaw_and_pitch
2024-07-16 10:50:10,753 INFO  SwAddin.cs: 299 - Save is required
2024-07-16 10:50:10,753 INFO  SwAddin.cs: 313 - Saving assembly
2024-07-16 10:50:12,051 INFO  SwAddin.cs: 316 - Opening property manager
2024-07-16 10:50:12,051 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from head_yaw_and_pitch
